id,title,type,release_year,age_certification,runtime,genre,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm918258,Dogwashers,MOVIE,2020,Unrated,107,'drama',"['AR', 'CO']",5.8,601.0,29.101,5.8,154
tm918258,Dogwashers,MOVIE,2020,Unrated,107,'comedy',"['AR', 'CO']",5.8,601.0,29.101,5.8,154
tm1047951,Small Chops,MOVIE,2020,Unrated,98,'drama',['NG'],3.0,31.0,1.2,3.0,145
tm493556,Kaagar,MOVIE,2019,Unrated,129,'crime',['IN'],6.2,64.0,1.4,6.2,13
tm493556,Kaagar,MOVIE,2019,Unrated,129,'drama',['IN'],6.2,64.0,1.4,6.2,13
tm882875,Sol Levante,MOVIE,2020,Unrated,4,'fantasy',['JP'],6.510860655737705,23439.382473841557,2.659,6.510860655737705,297
tm882875,Sol Levante,MOVIE,2020,Unrated,4,'scifi',['JP'],6.510860655737705,23439.382473841557,2.659,6.510860655737705,297
ts221472,Valentino,SHOW,2020,TV-14,37,'comedy',['EG'],5.2,225.0,6.16,5.2,123
tm460411,Stunt School,MOVIE,2019,Unrated,95,'comedy',['TR'],4.4,1141.0,1.509,4.4,82
tm816432,Bypass Road,MOVIE,2019,Unrated,137,'thriller',['IN'],5.4,1022.0,1.523,5.4,49
tm816432,Bypass Road,MOVIE,2019,Unrated,137,'drama',['IN'],5.4,1022.0,1.523,5.4,49
tm1020701,La Vocera,MOVIE,2020,Unrated,82,'documentation',['MX'],7.2,55.0,1.679,7.2,61
tm839479,Fan Girl,MOVIE,2020,Unrated,100,'drama',['PH'],6.6,382.0,2.273,6.6,70
tm828570,Ahaan,MOVIE,2019,Unrated,81,'comedy',['IN'],7.0,327.0,1.017,7.0,150
tm828570,Ahaan,MOVIE,2019,Unrated,81,'drama',['IN'],7.0,327.0,1.017,7.0,150
tm466850,Ricardo Quevedo: los amargados somos más,MOVIE,2019,Unrated,58,'comedy',[],7.3,97.0,2.175,7.3,159
tm835445,Deon Cole: Cole Hearted,MOVIE,2019,Unrated,69,'comedy',['US'],6.9,895.0,3.008,6.9,209
tm1004219,Who's the Boss,MOVIE,2020,Unrated,105,'comedy',[],5.7,39.0,2.236,5.7,94
tm1004219,Who's the Boss,MOVIE,2020,Unrated,105,'romance',[],5.7,39.0,2.236,5.7,94
tm435327,27 Steps of May,MOVIE,2019,Unrated,112,'drama',['ID'],8.0,492.0,1.857,8.0,130
tm435836,Mere Pyare Prime Minister,MOVIE,2019,Unrated,104,'drama',['IN'],6.8,646.0,1.988,6.8,86
tm983091,The Netflix Afterparty: The Best Shows of The Worst Year,MOVIE,2020,Unrated,59,'documentation',['US'],6.510860655737705,23439.382473841557,1.492,6.510860655737705,154
ts222687,No hay tiempo para la vergüenza,SHOW,2019,Unrated,43,'reality',[],5.8,82.0,1.008,5.8,69
tm674135,Brother in Love,MOVIE,2019,Unrated,115,'comedy',['TR'],7.0,6337.0,3.146,7.0,120
tm674135,Brother in Love,MOVIE,2019,Unrated,115,'family',['TR'],7.0,6337.0,3.146,7.0,120
tm938434,All Because of You,MOVIE,2020,Unrated,101,'romance',['MY'],3.9,218.0,2.519,3.9,275
tm938434,All Because of You,MOVIE,2020,Unrated,101,'comedy',['MY'],3.9,218.0,2.519,3.9,275
tm938434,All Because of You,MOVIE,2020,Unrated,101,'action',['MY'],3.9,218.0,2.519,3.9,275
tm912415,Urzila Carlson: Overqualified Loser,MOVIE,2020,Unrated,62,'comedy',[],6.3,366.0,2.95,6.3,295
tm992712,From Stress to Happiness,MOVIE,2020,PG-13,60,'documentation',[],6.3,208.0,2.581,6.3,235
ts298837,Badanamu Stories,SHOW,2020,TV-Y,10,'animation',[],5.6,9.0,22.637925395684302,5.6,162
tm475638,Luccas Neto em: Uma Babá Muito Esquisita,MOVIE,2019,Unrated,75,'comedy',['BR'],3.0,36.0,2.143,3.0,289
tm475638,Luccas Neto em: Uma Babá Muito Esquisita,MOVIE,2019,Unrated,75,'family',['BR'],3.0,36.0,2.143,3.0,289
ts251607,Word Party Songs,SHOW,2020,TV-Y,4,'animation',[],3.6,18.0,2.346,3.6,142
ts251607,Word Party Songs,SHOW,2020,TV-Y,4,'family',[],3.6,18.0,2.346,3.6,142
ts213611,Bangkok Love Stories: Plead,SHOW,2019,Unrated,42,'drama',['TH'],7.2,58.0,1.82,7.2,191
tm980358,You Are My Home,MOVIE,2020,Unrated,92,'family',['US'],6.510860655737705,23439.382473841557,4.44,6.510860655737705,156
tm483511,Jai Mummy Di,MOVIE,2020,Unrated,103,'comedy',['IN'],3.7,946.0,2.23,3.7,274
tm483511,Jai Mummy Di,MOVIE,2020,Unrated,103,'drama',['IN'],3.7,946.0,2.23,3.7,274
tm483511,Jai Mummy Di,MOVIE,2020,Unrated,103,'romance',['IN'],3.7,946.0,2.23,3.7,274
ts101042,The 43,SHOW,2019,TV-MA,66,'documentation',['MX'],7.1,143.0,2.828,7.1,168
ts101042,The 43,SHOW,2019,TV-MA,66,'war',['MX'],7.1,143.0,2.828,7.1,168
ts269280,Kings of Jo'Burg,SHOW,2020,TV-MA,53,'crime',['ZA'],5.0,499.0,5.53,5.0,212
ts269280,Kings of Jo'Burg,SHOW,2020,TV-MA,53,'thriller',['ZA'],5.0,499.0,5.53,5.0,212
ts255418,Bad Boy Billionaires: India,SHOW,2020,TV-14,59,'crime',['XX'],7.9,3057.0,1.974,7.9,39
ts255418,Bad Boy Billionaires: India,SHOW,2020,TV-14,59,'documentation',['XX'],7.9,3057.0,1.974,7.9,39
tm830151,One Day We'll Talk About Today,MOVIE,2020,Unrated,121,'drama',['ID'],7.4,1155.0,2.614,7.4,120
tm830151,One Day We'll Talk About Today,MOVIE,2020,Unrated,121,'family',['ID'],7.4,1155.0,2.614,7.4,120
tm830151,One Day We'll Talk About Today,MOVIE,2020,Unrated,121,'music',['ID'],7.4,1155.0,2.614,7.4,120
tm830151,One Day We'll Talk About Today,MOVIE,2020,Unrated,121,'documentation',['ID'],7.4,1155.0,2.614,7.4,120
tm1026240,Perfume Imaginary Museum “Time Warp”,MOVIE,2020,Unrated,53,'music',['JP'],6.5,24.0,1.555,6.5,235
tm885938,Mauricio Meirelles: Generating Chaos,MOVIE,2020,Unrated,63,'comedy',['BR'],6.510860655737705,23439.382473841557,2.182,6.510860655737705,9
ts225513,Spectros,SHOW,2020,TV-MA,44,'scifi',['BR'],6.510860655737705,23439.382473841557,7.354,6.510860655737705,20
tm838007,Dolly Kitty and Those Twinkling Stars,MOVIE,2019,R,120,'drama',['IN'],5.5,7580.0,2.456,5.5,203
tm838007,Dolly Kitty and Those Twinkling Stars,MOVIE,2019,R,120,'comedy',['IN'],5.5,7580.0,2.456,5.5,203
tm845552,Giving Voice,MOVIE,2020,PG-13,90,'documentation',['US'],6.510860655737705,23439.382473841557,2.685,6.510860655737705,145
ts237556,The Unremarkable Juanquini,SHOW,2020,TV-MA,29,'comedy',['CO'],4.3,191.0,7.945,4.3,292
tm873357,Mariposa,MOVIE,2020,Unrated,117,'comedy',[],6.9,725.0,22.637925395684302,6.9,279
tm873357,Mariposa,MOVIE,2020,Unrated,117,'drama',[],6.9,725.0,22.637925395684302,6.9,279
tm873357,Mariposa,MOVIE,2020,Unrated,117,'romance',[],6.9,725.0,22.637925395684302,6.9,279
tm810357,True: Happy Hearts Day,MOVIE,2019,G,23,'action',['CA'],6.510860655737705,23439.382473841557,2.006,6.510860655737705,205
tm810357,True: Happy Hearts Day,MOVIE,2019,G,23,'animation',['CA'],6.510860655737705,23439.382473841557,2.006,6.510860655737705,205
tm810357,True: Happy Hearts Day,MOVIE,2019,G,23,'family',['CA'],6.510860655737705,23439.382473841557,2.006,6.510860655737705,205
tm1062350,Kedibone,MOVIE,2020,Unrated,94,'drama',['ZA'],4.5,174.0,2.368,4.5,119
tm457296,Kevin Hart's Guide to Black History,MOVIE,2019,PG,60,'comedy',['US'],5.5,1347.0,3.248,5.5,74
tm982569,London Hughes: To Catch A D*ck,MOVIE,2020,Unrated,60,'comedy',['US'],4.7,326.0,3.879,4.7,289
tm840208,Jeff Garlin: Our Man in Chicago,MOVIE,2019,Unrated,58,'comedy',['GB'],5.9,425.0,2.251,5.9,177
ts229700,Encounters,SHOW,2019,TV-PG,22,'comedy',[],6.510860655737705,23439.382473841557,0.6,6.510860655737705,296
tm840236,Milea,MOVIE,2020,Unrated,99,'drama',['ID'],6.1,564.0,3.228,6.1,127
tm840236,Milea,MOVIE,2020,Unrated,99,'romance',['ID'],6.1,564.0,3.228,6.1,127
tm844978,Guatemala: Heart of the Mayan World,MOVIE,2019,Unrated,66,'documentation',"['GT', 'UY']",6.6,224.0,2.275,6.6,91
tm885364,The House of Flowers Presents: The Funeral,MOVIE,2019,Unrated,35,'comedy',['MX'],6.510860655737705,23439.382473841557,10.517,6.510860655737705,110
ts45322,"Wait, My Youth",SHOW,2019,TV-PG,36,'drama',['CN'],8.0,122.0,4.459,8.0,272
ts45322,"Wait, My Youth",SHOW,2019,TV-PG,36,'romance',['CN'],8.0,122.0,4.459,8.0,272
tm849599,Furtive,MOVIE,2020,Unrated,84,'thriller',['AR'],5.1,328.0,1.945,5.1,199
ts257243,Voices of Fire,SHOW,2020,TV-PG,37,'music',['US'],6.8,388.0,1.137,6.8,149
ts257243,Voices of Fire,SHOW,2020,TV-PG,37,'reality',['US'],6.8,388.0,1.137,6.8,149
tm981475,Illegal Woman,MOVIE,2020,Unrated,119,'drama',['ES'],6.1,201.0,1.65,6.1,116
tm981475,Illegal Woman,MOVIE,2020,Unrated,119,'crime',['ES'],6.1,201.0,1.65,6.1,116
tm981475,Illegal Woman,MOVIE,2020,Unrated,119,'european',['ES'],6.1,201.0,1.65,6.1,116
tm882700,Not a Game,MOVIE,2020,Unrated,32,'documentation',['ES'],6.510860655737705,23439.382473841557,3.061,6.510860655737705,277
tm882700,Not a Game,MOVIE,2020,Unrated,32,'drama',['ES'],6.510860655737705,23439.382473841557,3.061,6.510860655737705,277
ts89740,The Defected,SHOW,2019,TV-14,42,'drama',['HK'],7.4,70.0,6.024,7.4,238
ts89740,The Defected,SHOW,2019,TV-14,42,'crime',['HK'],7.4,70.0,6.024,7.4,238
tm850176,Leslie Jones: Time Machine,MOVIE,2020,Unrated,66,'comedy',[],6.510860655737705,23439.382473841557,1.762,6.510860655737705,24
tm945831,The Magic School Bus Rides Again: The Frizz Connection,MOVIE,2020,Unrated,44,'animation',['US'],6.510860655737705,23439.382473841557,2.052,6.510860655737705,250
tm945831,The Magic School Bus Rides Again: The Frizz Connection,MOVIE,2020,Unrated,44,'family',['US'],6.510860655737705,23439.382473841557,2.052,6.510860655737705,250
ts256134,Country Ever After,SHOW,2020,TV-PG,24,'reality',['US'],6.4,170.0,1.11,6.4,117
ts256134,Country Ever After,SHOW,2020,TV-PG,24,'music',['US'],6.4,170.0,1.11,6.4,117
