id,title,type,release_year,age_certification,runtime,genre.2.1,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm371359,Jaal,MOVIE,1986,Unrated,159,drama,['IN'],5.2,125,3.366,5.2,159
tm371359,Jaal,MOVIE,1986,Unrated,159,thriller,['IN'],5.2,125,3.366,5.2,159
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,Unrated,100,drama,['US'],7.2,144,2.246,7.2,27
ts63001,High Risk,SHOW,1988,TV-PG,50,comedy,['US'],3.8,6,1.4,3.8,296
tm311264,Muqaddar Ka Faisla,MOVIE,1987,Unrated,172,action,['IN'],4.8,69,2.236,4.8,240
tm311264,Muqaddar Ka Faisla,MOVIE,1987,Unrated,172,comedy,['IN'],4.8,69,2.236,4.8,240
tm311264,Muqaddar Ka Faisla,MOVIE,1987,Unrated,172,drama,['IN'],4.8,69,2.236,4.8,240
tm311264,Muqaddar Ka Faisla,MOVIE,1987,Unrated,172,family,['IN'],4.8,69,2.236,4.8,240
tm411457,Pyar Ke Do Pal,MOVIE,1986,Unrated,125,drama,['IN'],6.1,66,1.756,6.1,149
tm411457,Pyar Ke Do Pal,MOVIE,1986,Unrated,125,action,['IN'],6.1,66,1.756,6.1,149
tm172482,Sohni Mahiwal,MOVIE,1984,Unrated,160,romance,['IN'],6.1,297,6.052,6.1,188
tm172482,Sohni Mahiwal,MOVIE,1984,Unrated,160,drama,['IN'],6.1,297,6.052,6.1,188
tm172482,Sohni Mahiwal,MOVIE,1984,Unrated,160,action,['IN'],6.1,297,6.052,6.1,188
tm419052,Ek Jaan Hain Hum,MOVIE,1983,Unrated,151,family,['IN'],6.3,70,0.986,6.3,178
tm419052,Ek Jaan Hain Hum,MOVIE,1983,Unrated,151,romance,['IN'],6.3,70,0.986,6.3,178
tm47673,An Egyptian Story,MOVIE,1982,Unrated,129,drama,['EG'],7.3,1126,1.77,7.3,251
tm47673,An Egyptian Story,MOVIE,1982,Unrated,129,fantasy,['EG'],7.3,1126,1.77,7.3,251
tm52274,The Little Wars,MOVIE,1982,Unrated,108,war,"['FR', 'LB']",6.3,152,1.956,6.3,256
tm52274,The Little Wars,MOVIE,1982,Unrated,108,drama,"['FR', 'LB']",6.3,152,1.956,6.3,256
tm52274,The Little Wars,MOVIE,1982,Unrated,108,european,"['FR', 'LB']",6.3,152,1.956,6.3,256
tm147829,Unspeakable Acts,MOVIE,1990,Unrated,100,drama,['US'],6.1,464,2.075,6.1,28
ts20981,Survivor,SHOW,2000,TV-PG,48,reality,['US'],7.4,24687,54.19,7.4,1
tm107744,Mission: Impossible,MOVIE,1996,PG-13,110,thriller,['US'],7.1,420673,41.115,7.1,63
tm107744,Mission: Impossible,MOVIE,1996,PG-13,110,action,['US'],7.1,420673,41.115,7.1,63
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,"['CA', 'US']",8.4,90196,88.851,8.4,246
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,drama,"['CA', 'US']",8.4,90196,88.851,8.4,246
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,action,"['CA', 'US']",8.4,90196,88.851,8.4,246
tm15897,Se7en,MOVIE,1995,R,127,crime,['US'],8.6,1606270,51.633,8.6,93
tm15897,Se7en,MOVIE,1995,R,127,thriller,['US'],8.6,1606270,51.633,8.6,93
tm15897,Se7en,MOVIE,1995,R,127,drama,['US'],8.6,1606270,51.633,8.6,93
ts21223,Pokémon,SHOW,1997,TV-Y7,22,action,['JP'],7.4,198,115.356,7.4,293
ts21223,Pokémon,SHOW,1997,TV-Y7,22,scifi,['JP'],7.4,198,115.356,7.4,293
ts21223,Pokémon,SHOW,1997,TV-Y7,22,animation,['JP'],7.4,198,115.356,7.4,293
ts21223,Pokémon,SHOW,1997,TV-Y7,22,comedy,['JP'],7.4,198,115.356,7.4,293
ts21223,Pokémon,SHOW,1997,TV-Y7,22,fantasy,['JP'],7.4,198,115.356,7.4,293
ts21223,Pokémon,SHOW,1997,TV-Y7,22,family,['JP'],7.4,198,115.356,7.4,293
